"packet_number","registration_area","edrpou","public_name","adrg","service","основний_діагноз","кількість_унікальних_пацієнтів"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H26.2 - Ускладнена катаракта","11"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H26.8 - Інша уточнена катаракта","44"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H26.9 - Катаракта, неуточнена","1"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H27.0 - Афакія","1"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","G45.3 - Минуща сліпота","2"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H25.0 - Початкова стареча катаракта","26"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","9"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H25.8 - Інша стареча катаракта","51"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H25.9 - Стареча катаракта, неуточнена","71"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","193"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H26.8 - Інша уточнена катаракта","4"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H27.0 - Афакія","1"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H27.1 - Вивих кришталика","2"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","H40.5 - Глаукома вторинна внаслідок інших хвороб ока","1"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","S05.1 - Забій очного яблука та тканин очної ямки","1"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16","C16 - Операції на кришталику","S05.8 - Інші травми ока та очної ямки","1"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H25.9 - Стареча катаракта, неуточнена","3"
"3","ВІННИЦЬКА","02011031","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H26.2 - Ускладнена катаракта","9"
"3","ВІННИЦЬКА","35814729","""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.0 - Початкова стареча катаракта","66"
"3","ВІННИЦЬКА","35814729","""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.8 - Інша стареча катаракта","1"
"3","ВІННИЦЬКА","35814729","""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","1"
"3","ВІННИЦЬКА","35814729","""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H26.9 - Катаракта, неуточнена","1"
"3","ВІННИЦЬКА","35814729","""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H40.1 - Первинна відкритокутова глаукома","1"
"3","ВОЛИНСЬКА","01982940","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОВЕЛЬСЬКЕ МІСЬКРАЙОННЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ КОВЕЛЬСЬКОЇ МІСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ","C16","C16 - Операції на кришталику","H25.0 - Початкова стареча катаракта","3"
"3","ВОЛИНСЬКА","01982940","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОВЕЛЬСЬКЕ МІСЬКРАЙОННЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ КОВЕЛЬСЬКОЇ МІСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","9"
"3","ВОЛИНСЬКА","01982940","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОВЕЛЬСЬКЕ МІСЬКРАЙОННЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ КОВЕЛЬСЬКОЇ МІСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","35"
"3","ВОЛИНСЬКА","01982940","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОВЕЛЬСЬКЕ МІСЬКРАЙОННЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ КОВЕЛЬСЬКОЇ МІСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ","C16","C16 - Операції на кришталику","H26.4 - Післяопераційна катаракта","1"
"3","ВОЛИНСЬКА","01982940","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОВЕЛЬСЬКЕ МІСЬКРАЙОННЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ КОВЕЛЬСЬКОЇ МІСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ","C16","C16 - Операції на кришталику","H26.8 - Інша уточнена катаракта","15"
"3","ВОЛИНСЬКА","01982940","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОВЕЛЬСЬКЕ МІСЬКРАЙОННЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ КОВЕЛЬСЬКОЇ МІСЬКОЇ РАДИ ВОЛИНСЬКОЇ ОБЛАСТІ","C16","C16 - Операції на кришталику","H35.5 - Спадкова дистрофія сітківки","1"
"3","ВОЛИНСЬКА","01983016","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НОВОВОЛИНСЬКА ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ""","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","14"
"3","ВОЛИНСЬКА","01983016","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НОВОВОЛИНСЬКА ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ""","C16","C16 - Операції на кришталику","H25.8 - Інша стареча катаракта","2"
"3","ВОЛИНСЬКА","01983016","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НОВОВОЛИНСЬКА ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ""","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","14"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","E11.33 - Цукровий діабет типу 2 з проліферативною ретинопатією","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H25.0 - Початкова стареча катаракта","51"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","68"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H25.8 - Інша стареча катаракта","3"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H26.0 - Дитяча, юнацька та пресенільна катаракта","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H26.1 - Травматична катаракта","5"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","82"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H27.0 - Афакія","2"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H27.1 - Вивих кришталика","3"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H28.2 - Катаракта при інших хворобах, класифікованих в інших рубриках","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H33.5 - Інші форми відшарування сітківки","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H40.1 - Первинна відкритокутова глаукома","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H40.8 - Інша глаукома","2"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H43.1 - Крововилив у склоподібне тіло","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H52.2 - Астигматизм","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","S05.1 - Забій очного яблука та тканин очної ямки","2"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","T85.2 - Ускладнення механічного походження, пов'язане зі штучним кришталиком ока","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H25.1 - Стареча ядерна катаракта","1"
"3","ВОЛИНСЬКА","01983163","""ВОЛИНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H40.5 - Глаукома вторинна внаслідок інших хвороб ока","1"
"3","ВОЛИНСЬКА","42078561","""ВОЛИНСЬКЕ ОБЛАСНЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ ЗАХИСТУ МАТЕРИНСТВА І ДИТИНСТВА"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","169"
"3","ВОЛИНСЬКА","42078561","""ВОЛИНСЬКЕ ОБЛАСНЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ ЗАХИСТУ МАТЕРИНСТВА І ДИТИНСТВА"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H25.2 - Стареча морганієва катаракта","1"
"3","ВОЛИНСЬКА","42078561","""ВОЛИНСЬКЕ ОБЛАСНЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ ЗАХИСТУ МАТЕРИНСТВА І ДИТИНСТВА"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H26.1 - Травматична катаракта","1"
"3","ВОЛИНСЬКА","42078561","""ВОЛИНСЬКЕ ОБЛАСНЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ ЗАХИСТУ МАТЕРИНСТВА І ДИТИНСТВА"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","144"
"3","ВОЛИНСЬКА","42078561","""ВОЛИНСЬКЕ ОБЛАСНЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ ЗАХИСТУ МАТЕРИНСТВА І ДИТИНСТВА"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","H26.4 - Післяопераційна катаракта","30"
"3","ВОЛИНСЬКА","42078561","""ВОЛИНСЬКЕ ОБЛАСНЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ ЗАХИСТУ МАТЕРИНСТВА І ДИТИНСТВА"" ВОЛИНСЬКОЇ ОБЛАСНОЇ РАДИ","C16","C16 - Операції на кришталику","Q12.0 - Вроджена катаракта","3"
"3","ДНІПРОПЕТРОВСЬКА","01984624","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 16"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H16.8 - Інші форми кератиту","1"
"3","ДНІПРОПЕТРОВСЬКА","01984624","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 16"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.0 - Початкова стареча катаракта","2"
"3","ДНІПРОПЕТРОВСЬКА","01984624","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 16"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","1"
"3","ДНІПРОПЕТРОВСЬКА","01984624","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 16"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.2 - Стареча морганієва катаракта","1"
"3","ДНІПРОПЕТРОВСЬКА","01984624","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 16"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.8 - Інша стареча катаракта","1"
"3","ДНІПРОПЕТРОВСЬКА","01984624","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 16"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","297"
